date,F1.1_zhatban_rate,F1.2_promotion_rate,F1.3_regime_score,F1.4_zhatban_x_promotion,F1.5_score_acceleration,F2.1_advance_ratio,F2.2_breadth_pct,F2.3_limit_up,F2.4_limit_down,F2.5_limit_ratio,F3.1_margin_bal_5d,F3.2_margin_bal_20d,F3.3_inst_net,F3.4_inst_participation,F3.5_etf_risk_spread,F3.6_margin_trend_enc,F3.7_inst_flow_enc,F4.1_sent_score,F4.2_sent_confidence,F4.3_sent_vel_1d,F4.4_sent_vel_5d,F4.5_sent_extreme_enc,F4.6_cycle_stage_enc,F4.7_cycle_scale,F4.8_risk_appetite_enc,F5.1_d_zhatban_1d,F5.2_d_zhatban_3d,F5.3_d_promotion_1d,F5.4_d_advance_1d,F5.5_d_limit_up_1d,F5.6_d_limit_down_1d,F5.7_d_margin_5d,F5.8_d_sent_vel_accel,F6.1_consecutive_regime,F6.2_consecutive_stop,F6.3_days_since_normal,F6.4_regime_switch_5d,F6.5_score_trend_3d,F6.6_score_trend_slope,F7.1_sent_regime_divergence,F7.2_breadth_zhatban_divergence,Q1_source_type,Q2_data_quality,Q3_is_simulator,Q4_is_production_eod,Q5_field_fill_rate,L1_regime_phase,L2_trade_allowed,T1_return,T3_return,T5_return,max_dd_5d,benchmark_5d
2026-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,aligned,False,PRE_HEALTH_PROTOCOL,shadow,False,False,0.0,UNKNOWN,False,1.27,2.38,,0.15,
2026-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,,,aligned,False,PRE_HEALTH_PROTOCOL,shadow,False,False,0.0,UNKNOWN,False,1.24,2.03,,0.15,
2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,0,,,aligned,False,PRE_HEALTH_PROTOCOL,shadow,False,False,0.0,UNKNOWN,False,-0.15,,,0.15,
2026-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,3,0,,,aligned,False,PRE_HEALTH_PROTOCOL,shadow,False,False,0.0,UNKNOWN,False,0.93,,,0.0,
2026-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,4,0,,,aligned,False,PRE_HEALTH_PROTOCOL,shadow,False,False,0.0,UNKNOWN,False,0.16,,,0.0,
2026-08-08,,,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,156.0,,aligned,False,AKSHARE_EOD,production,False,True,0.04,退潮期,False,,,,,
2026-08-09,0.53,0.21,82.0,0.4187,-74.0,0.0,0.0,0,0,,1.2,-10.87,749683.56,35.1,0.0,0,1,50.0,50.0,,,0,0,0.5,,,,,,,,,,1,0,6,2,119.0,-74.0,aligned,False,SIMULATOR,excluded,True,False,0.52,高潮期,True,,,,,
2026-08-10,0.58,0.14,110.0,0.4988,,0.0,0.0,0,0,,1.29,-10.28,,,0.0,0,,50.0,50.0,0.0,,0,0,0.5,,,,,,,,,,1,1,0,3,116.0,-23.0,aligned,False,AKSHARE_EOD,production,False,True,0.36,退潮期,False,,,,,
2026-08-11,0.58,0.14,208.0,0.4988,98.0,48.4,71.9,68,34,2.0,1.29,-10.28,581843.16,33.4,-0.18,0,1,70.9,75.0,-5.1,,0,1,0.8,1,0.0,0.0,0.0,48.4,68.0,34.0,0.0,-5.1,2,2,1,3,133.33,18.4,bull_divergence,False,AKSHARE_EOD,production,False,True,0.88,退潮期,False,,,,,
